actRmks,contentsUrl,safety_cate1,safety_cate2,safety_cate3,safety_cate4,safety_cate_nm1,safety_cate_nm2,safety_cate_nm3
"- TV, 라디오 등을 통해 기상정보를 청취하여 내가 있는 지역의 상황을 지속적으로 파악하고, 주변에 있는 사람들에게 알려 줍니다.",,01,01003,01003003,,자연재난,호우,호우특보 중 행동요령
"- TV, 라디오, 인터넷, 스마트폰의 안전디딤돌 앱 등으로 기상상황을 미리 파악하여 가족과 주변 사람들과 함께 공유하고 대비합니다.",,01,01003,01003002,,자연재난,호우,호우특보 예보시 행동요령
"- 가스 누출로 2차 피해가 발생할 수 있으므로 사전에 차단하고, 감전 위험이 있는 집 안팎의 전기시설은 만지지 않도록 합니다.",,01,01003,01003003,,자연재난,호우,호우특보 중 행동요령
- 가정의 하수구나 집 주변의 배수구를 미리 점검하고 막힌 곳은 뚫어야 합니다.,,01,01003,01003002,,자연재난,호우,호우특보 예보시 행동요령
"- 가족과 지인에게 연락하여 안전 여부를 확인하고, 연락이 되지 않고 실종이 의심될 경우에는 가까운 경찰서에 신고합니다.",,01,01003,01003004,,자연재난,호우,호우 이후 행동요령
- 강풍으로 인해 피해를 입지 않도록 가급적 욕실과 같이 창문이 없는 방이나 집안의 제일 안쪽으로 이동합니다.,,01,01003,01003003,,자연재난,호우,호우특보 중 행동요령
"- 건물의 출입문, 창문은 닫아서 파손되지 않도록 하고, 창문이나 유리문에서 되도록 떨어져 있도록 합니다.",,01,01003,01003003,,자연재난,호우,호우특보 중 행동요령
"- 고립된 지역에서는 무리하게 물을 건너지 말고, 119에 신고하거나 주변에 도움을 요청합니다.",,01,01003,01003004,,자연재난,호우,호우 이후 행동요령
"- 공사장, 가로등, 신호등, 전신주, 지하 공간 등 위험지역에는 접근하지 않도록 합니다.",,01,01003,01003003,,자연재난,호우,호우특보 중 행동요령
"- 공사장, 주변의 배수로, 빗물받이, 비탈면, 옹벽, 축대 등은 미리 점검합니다.",,01,01003,01003002,,자연재난,호우,호우특보 예보시 행동요령
"- 기상특보나 홍수, 산사태 등 재난 예·경보를 수신할 수 있도록 TV, 라디오 등을 준비하고 스마트폰에 ‘안전디딤돌’ 앱 등을 미리 설치합니다.",,01,01003,01003001,,자연재난,호우,호우 사전준비
"- 내가 거주하거나 생활하는 지역의 홍수, 침수(저지대), 산사태, 해일 등 재해위험 요인을 미리 확인합니다.",,01,01003,01003001,,자연재난,호우,호우 사전준비
- 농경지는 배수로를 정비하여 피해를 예방합니다.,,01,01003,01003002,,자연재난,호우,호우특보 예보시 행동요령
- 농촌지역에서는 논둑이나 물꼬를 보러 나가지 않습니다.,,01,01003,01003003,,자연재난,호우,호우특보 중 행동요령
- 대피 후 집으로 돌아온 경우 반드시 주택 등의 안전 여부를 확인하고 출입합니다.,,01,01003,01003004,,자연재난,호우,호우 이후 행동요령
"- 대피경로는 하천변, 산길, 전신주나 변압기 주변 등은 피하도록 합니다.",,01,01003,01003001,,자연재난,호우,호우 사전준비
- 물이 빠져나가고 있을 때에는 기름이나 동물 사체 등 오염된 경우가 많으므로 물에서 멀리 떨어져 있도록 합니다.,,01,01003,01003004,,자연재난,호우,호우 이후 행동요령
